Port,SupplyDemand,Num Samples
Coatzacoalcos-230dbf9a65a3,Demand,12
Coatzacoalcos-230dbf9a65a3,Supply,635
Cockatoo Island-e15fd694df57,Supply,19
Coden-32c1141edbaa,Demand,102
Coden-32c1141edbaa,Supply,48
Collo-118a9d1325e2,Supply,10
Colombo-04104bbca75f,Demand,122
Colombo-04104bbca75f,Supply,19
Colon-c99513f17c23,Demand,32
Colon-c99513f17c23,Supply,74
Come By Chance Harbor-84989c92b9a6,Demand,182
Come By Chance Harbor-84989c92b9a6,Supply,33
Comodoro Rivadavia-9d8471f8614d,Demand,15
Comodoro Rivadavia-9d8471f8614d,Supply,114
Conchan-b7b91348d404,Demand,24
Constantza-8640b9ce4f82,Demand,222
Constantza-8640b9ce4f82,Supply,19
Cork-5b70e0e2edb0,Demand,17
Cork-5b70e0e2edb0,Supply,27
Corpus Christi-7a30d31f121f,Demand,728
Corpus Christi-7a30d31f121f,Supply,621
Cossack-71584b369f53,Supply,39
Covenas-76285da2ae54,Demand,30
Covenas-76285da2ae54,Supply,1252
Cowes Harbor-492fd1fcdad3,Demand,18
Cristobal-7a0a146c6f4c,Demand,19
Cyrus Terminal-7929470e34f7,Supply,80
Daesan-5e616be98516,Demand,901
Daesan-5e616be98516,Supply,32
Daishan-8d1d2ae11d71,Demand,49
Daishan-8d1d2ae11d71,Supply,28
Dakar-c995aa8a2b7f,Demand,100
Dakar-c995aa8a2b7f,Supply,17
Dalian-641923403d46,Demand,1389
Dalian-641923403d46,Supply,449
Dampier-0770da9372ac,Supply,170
Dar-es-Salaam-9761ca3cc83c,Demand,28
Das Island-6bbe24b74298,Demand,10
Das Island-6bbe24b74298,Supply,1444
Davant-8ed4143ccb1f,Demand,31
Davant-8ed4143ccb1f,Supply,22
De Kastri-152e8b122f41,Supply,729
Deendayal (Kandla)-cb8c572f1f7c,Demand,77
Deendayal (Kandla)-cb8c572f1f7c,Supply,25
Delair-c0288683f54a,Demand,16
Delair-c0288683f54a,Supply,11
Delaware-b7084da9a089,Demand,118
Delaware-b7084da9a089,Supply,10
Delma-ebf81718f685,Demand,12
Delma-ebf81718f685,Supply,108
Destrehan-3e0eb54ab1e0,Demand,49
Destrehan-3e0eb54ab1e0,Supply,77
Dibba-63aec6d8d867,Supply,28
Djeno-e44e1a5065f3,Supply,568
Doha-334c3d200e3d,Supply,11
Donges-29e6374381eb,Demand,462
Donges-29e6374381eb,Supply,10
Dongjiakou-192facca7a0e,Demand,595
Dongjiakou-192facca7a0e,Supply,57
Dongying-5b327b4206b2,Demand,186
Dongying-5b327b4206b2,Supply,193
Dortyol-c92e8c6577c4,Supply,17
Dos Bocas-51ae87032a0e,Demand,19
Dos Bocas-51ae87032a0e,Supply,1147
Dubai-dd89e73f6ea8,Demand,125
Dubai-dd89e73f6ea8,Supply,201
Dumai-2e7d15752dc3,Demand,68
Dumai-2e7d15752dc3,Supply,321
Dung Quat-6cad81c97377,Demand,44
Dunkirk-b1108d988a99,Demand,25
Durban-2c15a692c2d1,Demand,628
Durban-2c15a692c2d1,Supply,15
El Hamra Oil Terminal-c68ec7f166d6,Supply,206
El Palito-45b3dde23b18,Demand,169
El Palito-45b3dde23b18,Supply,87
El Segundo-44e37d0a9803,Demand,745
El Segundo-44e37d0a9803,Supply,38
El Tablazo-8969089cb572,Supply,15
El-adabiya-794d933b1efe,Demand,11
Elevsis-fbce199af529,Demand,46
Ennore-c2e869988696,Demand,17
Ensted-599085667443,Supply,34
Erawan Terminal-18706d4ae0a3,Supply,13
Es Sider-7b388828f370,Supply,206
Escombreras-8ff2f5149d51,Demand,738
Escombreras-8ff2f5149d51,Supply,13
Escravos-d10fa4d128c1,Supply,629
Esmeraldas-2296c98900e5,Supply,912
Espevik-a06db0b14de5,Supply,11
Everingen-b13bb9bb37c6,Supply,11
Exmouth-8319bd3b7298,Supply,127
Eyemouth-c92fdb008442,Supply,20
Ez Zueitina-df251b334fca,Supply,118
Falconara-dded61335358,Demand,208
Fanara-d8097cc33917,Demand,25
Fanara-d8097cc33917,Supply,15
Fangcheng-e432e416e141,Demand,141
Fangcheng-e432e416e141,Supply,170
Fateh Terminal-07b4753abaf1,Supply,157
Fawley-a9deff035346,Demand,556
Fawley-a9deff035346,Supply,11
Fedje-7d42a4d15909,Supply,34
Felton-75d2c607efac,Demand,27
Ferndale-202bfe1fc498,Demand,166
Ferndale-202bfe1fc498,Supply,32
Ferrol-95cf5ab44ffa,Demand,15
Ferrol-95cf5ab44ffa,Supply,13
Finnart Oil Terminal-68b4bb1f9d17,Demand,177
Forcados-344ee102e813,Supply,743
Fort De France-e336039d97b0,Demand,42
Fortaleza-5baebe8b4683,Demand,41
Forties Terminal-758cde43cb57,Supply,34
Fos-a89094aa52c0,Demand,1317
Fos-a89094aa52c0,Supply,41
Fraserburgh Harbor-6dfcea86689c,Supply,130
Fredericia-2ce2fe57cad8,Supply,158
Frederikshavn-09d8333af9ca,Demand,154
Frederikshavn-09d8333af9ca,Supply,200
Freeport-3415bc29dc8c,Demand,414
Freeport-3415bc29dc8c,Supply,229
Freeport-fd2e0532af21,Demand,422
Freeport-fd2e0532af21,Supply,341
Fremantle-4a5c2747a538,Demand,72
Fremantle-4a5c2747a538,Supply,45
Fuik Bay-bf0ab432d8f5,Demand,20
Fuik Bay-bf0ab432d8f5,Supply,26
Fujairah-ca26fade3b91,Demand,2022
Fujairah-ca26fade3b91,Supply,3839
Fulmar Terminal-dd94ed4fe8fa,Supply,31
Galeota Point-0c028f687ae9,Supply,44
Galle Harbor-5d159c090d3b,Demand,64
Galle Harbor-5d159c090d3b,Supply,82
Galtby-cc4d98f09f61,Demand,113
Galveston-80916f3912d8,Demand,2618
Galveston-80916f3912d8,Supply,3123
Gamba-1049c893b584,Supply,166
Ganyu-b9e49bd08429,Demand,24
Garyville-04c030e40e80,Demand,38
Gdansk-34ceedb9667f,Demand,566
Gdansk-34ceedb9667f,Supply,24
Gedser-86f23e05be91,Demand,42
Gedser-86f23e05be91,Supply,31
Geelong-80cda7bf3ed2,Demand,335
Geelong-80cda7bf3ed2,Supply,14
Geisum Terminal-715734f5be45,Demand,50
Gelendzhik-4f847e0e589a,Supply,10
Gelibolu-15f5e85c3281,Demand,10
Gelibolu-15f5e85c3281,Supply,12
Genoa-65f8cdf3c546,Demand,633
Genoa-65f8cdf3c546,Supply,16
George Town-1221ebf98ef5,Demand,11
Gibraltar-1fcc4603c786,Demand,122
Gibraltar-1fcc4603c786,Supply,379
Gombe Beta Terminal-c62d043fa5f7,Supply,95
Good Hope-431d3b6c8970,Demand,406
Good Hope-431d3b6c8970,Supply,14
Gorm Terminal-6743587d7141,Supply,55
Gothenburg-de0033e99214,Demand,569
Gothenburg-de0033e99214,Supply,76
Goto Oil Terminal-bc3f343bfee1,Demand,286
Goto Oil Terminal-bc3f343bfee1,Supply,135
Gramercy-f85565631382,Demand,37
Gramercy-f85565631382,Supply,50
Grand Cul De Sac Bay-8f457aa4d65c,Demand,78
Grand Cul De Sac Bay-8f457aa4d65c,Supply,85
Great Yarmouth-b48776078bc6,Demand,124
Great Yarmouth-b48776078bc6,Supply,80
Greenville-91bdcff51488,Supply,12
Gretna-b35f7810ad7c,Supply,28
Grimsby-d6f49c2e1bad,Demand,703
Grimsby-d6f49c2e1bad,Supply,80
Gryphon Terminal-c60fa19a5389,Supply,290
Guamare Oil Terminal-0c8a73f24606,Supply,57
Guaranao Bay-80e98c0db688,Demand,22
Guaranao Bay-80e98c0db688,Supply,21
Guayanilla-422800078285,Demand,27
Guiria-f17a49448be0,Supply,12
Gulei-276457416195,Demand,41
Gulf Gateway-e0932031b5b6,Demand,183
Gulf Gateway-e0932031b5b6,Supply,159
Gullfaks Terminal-58491a793280,Supply,293
Gunsan-6a244100846b,Demand,41
Gwadar-38dd638e81c2,Demand,15
Gwangyang-11ecb2ca4f7f,Demand,1131
Gwangyang-11ecb2ca4f7f,Supply,248
Haifa-3a42a4f6784e,Demand,14
Halsskov-67355b8e1ffe,Demand,10
Halul-b31f44d24105,Supply,423
Hambantota-597b12547c60,Demand,40
Hambantota-597b12547c60,Supply,50
Hamble-253db081b2ef,Supply,48
Hamburg-063772b8f28b,Demand,80
Hamriyah Free Zone-2f684e795984,Demand,14
Hamriyah Free Zone-2f684e795984,Supply,29
Hartlepool-3ef4e9aa5ca8,Supply,37
Hastings-13abbef165b1,Demand,76
Hastings-89c8c399cf20,Supply,32
Hasvik-6cb08609d706,Supply,86
Hazira-5289b55a7b2a,Supply,17
Heidrun Field-f189358c23bc,Supply,309
Helgoland-c47a1ee22838,Demand,108
Helgoland-c47a1ee22838,Supply,149
Hempstead Harbour-2bf2cd41bbbb,Supply,24
Hidaka-780e273f0325,Demand,13
Hitakatsu-c69c95ac77ac,Demand,77
Hitakatsu-c69c95ac77ac,Supply,48
Hong Kong-0c90bc71ba92,Demand,390
Hong Kong-0c90bc71ba92,Supply,90
